company,job_title,location,posted_date,stipend
UniAcco,Business Development Executive,Delhi,Today,"₹ 3,00,000 - 3,60,000"
Sharedpro,Accountant,Vadodara,1 day ago,"₹ 2,60,000 - 3,00,000"
Technoculture Research,Electrochemical Specialist,Taleigao,1 day ago,"₹ 2,00,000 - 2,50,000"
CloudBird Digital Private Limited,Admission Counselor (Female Only),Kushinagar,1 day ago,"₹ 3,00,000 - 4,00,000"
Verily Global Solutions LLP,Administration Associate,Thane,1 day ago,"₹ 2,00,000 - 2,04,000"
APRE Art House,Gallery Associate,Mumbai,1 day ago,"₹ 2,00,000 - 4,50,000"
Kbizsoft Solutions Private Limited,Search Engine Optimization (SEO) Executive,Punjab,1 day ago,"₹ 2,00,000 - 3,00,000"
Exquisite Employee Manifest,Senior Sales Executive,Vijayawada,2 days ago,"₹ 3,00,000 - 5,00,000"
Unfade Creations Private Limited,Video Editor,Jaipur,1 day ago,"₹ 2,16,000 - 2,64,000"
Augain Wealth Managment Private Limited,Associate Private Banking,Indore,,"₹ 2,50,000 - 8,00,000"
Apps N Devices,Operation Executive,Dehradun,1 day ago,"₹ 2,00,000"
Wehire Talent Solutions,Customer Relationship Executive,Mumbai,1 day ago,"₹ 2,00,000 - 4,50,000"
Highway Delite,Field Sales Executive,Mumbai,1 day ago,"₹ 2,20,000 - 2,40,000"
Soulful Events,Accountant,Lucknow,1 day ago,"₹ 2,00,000 - 2,01,000"
Growinity Solutions LLP,Business Development Executive,Pune,2 days ago,"₹ 2,00,000 - 2,50,000"
Greenvissage Business Consulting,Accounts Assistant,Pune,1 day ago,"₹ 2,16,000 - 2,40,000"
Saroj Education Group,Marketing Executive (Mumbai),Mumbai,1 day ago,"₹ 2,50,000 - 4,00,000"
Apps N Devices,Accountant,Dehradun,1 day ago,"₹ 2,00,000"
BookMyShow,Technical Writer-I,Mumbai,1 day ago,"₹ 3,00,000 - 4,00,000"
Highway Delite,Field Sales Executive,Delhi,1 day ago,"₹ 2,00,000 - 2,10,000"
Redwolf Media,Field Sales Executive,Coimbatore,1 day ago,"₹ 2,00,000 - 2,50,000"
Nite Flite,Fashion Designer,Kolkata,1 day ago,"₹ 3,00,000 - 3,60,000"
Registration Arena,Company Secretary (CS),Pimpri-Chinchwad,1 day ago,"₹ 2,00,000 - 4,00,000"
Goodera,Program Associate,Bangalore,1 day ago,"₹ 6,00,000 - 7,00,000"
Wildly Tech Private Limited,Supply Chain Manager (SCM),Bangalore,1 day ago,"₹ 2,50,000 - 4,00,000"
Goodera,Junior Associate - Client Service,Bangalore,1 day ago,"₹ 3,50,000 - 4,00,000"
5D VDC,Human Resources (HR) Executive,Kolkata,,"₹ 2,50,000 - 3,00,000"
Oralens LLC,Embedded Systems Specialist,Bangalore,1 day ago,"₹ 3,60,000 - 4,80,000"
GenElek Technologies Private Limited,Embedded Systems Associate,Delhi,1 day ago,"₹ 3,60,000 - 4,00,000"
Xboom Utilities Private Limited,Content & E-commerce Management Executive,Bangalore,1 day ago,"₹ 3,00,000 - 5,00,000"
Promage Innovations LLP,Junior Graphic Designer,Mumbai,1 day ago,"₹ 2,50,000 - 3,50,000"
Wildly Tech Private Limited,Electronics Hardware Test Engineer,Bangalore,1 day ago,"₹ 4,00,000 - 6,00,000"
